iter	Passed	Remaining
405	9996	39247
406	10021	39225
407	10044	39194
408	10063	39145
409	10089	39125
410	10115	39107
411	10146	39107
412	10179	39114
413	10206	39100
414	10232	39079
415	10259	39065
416	10287	39052
417	10311	39025
418	10341	39019
419	10354	38952
420	10378	38926
421	10406	38911
422	10436	38908
423	10462	38888
424	10490	38876
425	10517	38859
426	10525	38775
427	10549	38747
428	10579	38742
429	10618	38768
430	10626	38685
431	10650	38656
432	10675	38635
433	10704	38625
434	10732	38612
435	10759	38596
436	10786	38578
437	10815	38568
438	10842	38553
439	10870	38541
440	10898	38526
441	10924	38508
442	10951	38490
443	10984	38493
444	11010	38474
445	11025	38415
446	11049	38390
447	11078	38380
448	11107	38367
449	11136	38359
450	11162	38338
451	11171	38259
452	11175	38165
453	11199	38138
454	11227	38125
455	11252	38100
456	11272	38060
457	11297	38036
458	11329	38035
459	11356	38020
460	11389	38021
461	11423	38028
462	11452	38019
463	11480	38005
464	11508	37991
465	11535	37974
466	11563	37957
467	11591	37944
468	11619	37931
469	11647	37917
470	11676	37905
471	11704	37890
472	11733	37879
473	11759	37859
474	11771	37792
475	11796	37770
476	11824	37755
477	11854	37745
478	11884	37737
479	11909	37713
480	11936	37696
481	11961	37671
482	11989	37656
483	12017	37641
484	12043	37620
485	12071	37605
486	12099	37591
487	12126	37572
488	12140	37513
489	12165	37489
490	12193	37474
491	12220	37455
492	12249	37443
493	12277	37430
494	12295	37383
495	12320	37359
496	12349	37345
497	12373	37319
498	12401	37303
499	12428	37286
500	12457	37271
501	12484	37253
502	12510	37233
503	12537	37215
504	12562	37191
505	12593	37182
506	12621	37167
507	12649	37152
508	12681	37146
509	12712	37141
510	12741	37128
511	12771	37115
512	12799	37101
513	12824	37077
514	12854	37065
515	12880	37044
516	12905	37019
517	12933	37003
518	12961	36986
519	12989	36970
520	13017	36953
521	13046	36938
522	13071	36915
523	13089	36870
524	13115	36849
525	13142	36830
526	13170	36812
527	13183	36755
528	13209	36732
529	13236	36713
530	13264	36695
531	13292	36680
532	13317	36653
533	13344	36635
534	13375	36626
535	13406	36617
536	13417	36554
537	13444	36533
538	13473	36519
539	13502	36506
540	13531	36492
541	13571	36506
542	13621	36548
543	13664	36573
544	13699	36574
545	13739	36589
546	13780	36605
547	13818	36614
548	13859	36629
549	13891	36622
550	13921	36609
551	13948	36589
552	13973	36562
553	14000	36542
554	14009	36475
555	14035	36450
556	14064	36436
557	14094	36423
558	14117	36393
559	14127	36328
560	14157	36313
561	14185	36297
562	14243	36353
563	14282	36364
564	14323	36378
565	14370	36408
566	14420	36446
567	14460	36457
568	14501	36470
569	14539	36476
570	14582	36493
571	14624	36509
572	14681	36563
573	14739	36616
574	14752	36561
575	14795	36577
576	14837	36592
577	14884	36618
578	14941	36669
579	14996	36715
580	15178	37071
581	15236	37121
582	15279	37137
583	15308	37117
584	15345	37117
585	15394	37145
586	15441	37169
587	15666	37620
588	15729	37680
589	15861	37906
590	15907	37924
591	15954	37946
592	16021	38012
593	16103	38117
594	16142	38118
595	16182	38121
596	16230	38143
597	16339	38307
598	16386	38326
599	16437	38353
600	16486	38376
601	16532	38392
602	16586	38426
603	16601	38371
604	16663	38422
605	16782	38605
606	16838	38641
607	16892	38675
608	16945	38703
609	16994	38725
610	17048	38757
611	17120	38828
612	17172	38856
613	17229	38891
614	17303	38967
615	17360	39004
616	17396	38993
617	17423	38963
618	17454	38940
619	17484	38916
620	17514	38892
621	17544	38868
622	17745	39222
623	17853	39370
624	17918	39420
625	18076	39675
626	18324	40125
627	18429	40263
628	18513	40353
629	18554	40348
630	18588	40329
631	18620	40304
632	18652	40280
633	18684	40256
634	18715	40230
635	18780	40278
636	18813	40255
637	18849	40238
638	18878	40209
639	18910	40185
640	18941	40157
641	18970	40128
642	19002	40102
643	19031	40072
644	19062	40045
645	19092	40016
646	19123	39990
647	19154	39963
648	19184	39935
649	19213	39905
650	19240	39870
651	19270	39841
652	19300	39813
653	19327	39778
654	19357	39749
655	19386	39719
656	19416	39690
657	19447	39663
658	19484	39649
659	19514	39620
660	19543	39589
661	19574	39563
662	19604	39534
663	19632	39502
664	19667	39483
665	19694	39448
666	19721	39414
667	19751	39385
668	19782	39357
669	19812	39329
670	19840	39297
671	19873	39274
672	19902	39243
673	19935	39219
674	19967	39196
675	19999	39170
676	20030	39143
677	20067	39128
678	20101	39106
679	20130	39076
680	20159	39045
681	20192	39022
682	20220	38990
683	20251	38963
684	20280	38932
685	20312	38908
686	20359	38911
687	20399	38901
688	20438	38889
689	20479	38881
690	20497	38830
691	20538	38822
692	20594	38841
693	20635	38832
694	20673	38818
695	20705	38793
696	20744	38780
697	20782	38767
698	20819	38749
699	20857	38735
700	20898	38725
701	20936	38711
702	20979	38706
703	21032	38719
704	21046	38659
705	21092	38660
706	21160	38698
707	21207	38701
708	21267	38726
709	21313	38724
710	21360	38724
711	21409	38728
712	21457	38732
713	21505	38734
714	21550	38730
715	21602	38740
716	21646	38734
717	21695	38737
718	21742	38737
719	21790	38739
720	21835	38735
721	21871	38714
722	21905	38691
723	21940	38668
724	21983	38660
725	22027	38654
726	22057	38622
727	22067	38557
728	22094	38521
729	22127	38495
730	22156	38463
731	22192	38442
732	22227	38420
733	22258	38391
734	22290	38363
735	22322	38335
736	22351	38304
737	22381	38273
738	22411	38241
739	22445	38218
740	22480	38195
741	22494	38137
742	22522	38103
743	22548	38065
744	22580	38039
745	22614	38014
746	22646	37986
747	22675	37954
748	22703	37920
749	22731	37886
750	22761	37854
751	22800	37838
752	22834	37814
753	22874	37800
754	22914	37786
755	22944	37754
756	22977	37728
757	23011	37704
758	23043	37677
759	23074	37648
760	23104	37616
761	23138	37592
762	23169	37562
763	23178	37498
764	23204	37460
765	23235	37431
766	23265	37401
767	23298	37375
768	23380	37426
769	23453	37464
770	23490	37444
771	23520	37413
772	23552	37385
773	23582	37354
774	23611	37321
775	23643	37292
776	23674	37263
777	23754	37311
778	23790	37288
779	23826	37267
780	23866	37251
781	23901	37227
782	23941	37211
783	23974	37184
784	24005	37154
785	24034	37122
786	24068	37095
787	24095	37060
788	24126	37030
789	24161	37007
790	24198	36986
791	24237	36968
792	24275	36949
793	24312	36928
794	24347	36904
795	24378	36874
796	24408	36842
797	24439	36813
798	24471	36783
799	24499	36749
800	24530	36719
801	24560	36687
802	24589	36654
803	24621	36625
804	24650	36592
805	24680	36561
806	24709	36528
807	24743	36502
808	24779	36480
809	24810	36449
810	24839	36417
811	24868	36383
812	24895	36348
813	24928	36320
814	24958	36289
815	24986	36255
816	25016	36223
817	25046	36191
818	25089	36179
819	25126	36157
820	25157	36126
821	25192	36103
822	25220	36068
823	25249	36035
824	25279	36003
825	25309	35972
826	25336	35937
827	25368	35907
828	25398	35875
829	25429	35846
830	25460	35815
831	25490	35784
832	25520	35752
833	25550	35721
834	25580	35689
835	25609	35657
836	25639	35625
837	25669	35593
838	25701	35565
839	25733	35537
840	25763	35505
841	25794	35474
842	25825	35444
843	25851	35408
844	25882	35378
845	25912	35346
846	25940	35312
847	25970	35281
848	26000	35249
849	26032	35219
850	26063	35190
851	26109	35180
852	26145	35156
853	26178	35128
854	26208	35097
855	26237	35065
856	26268	35035
857	26307	35015
858	26336	34982
859	26368	34953
860	26397	34920
861	26428	34890
862	26459	34860
863	26489	34829
864	26521	34799
865	26550	34767
866	26579	34734
867	26610	34703
868	26640	34672
869	26671	34642
870	26699	34607
871	26729	34576
872	26760	34546
873	26790	34514
874	26821	34485
875	26851	34453
876	26879	34418
877	26909	34387
878	26939	34355
879	26969	34324
880	26996	34289
881	27025	34256
882	27056	34226
883	27086	34194
884	27118	34165
885	27152	34139
886	27185	34112
887	27216	34081
888	27245	34049
889	27275	34018
890	27304	33985
891	27334	33953
892	27366	33924
893	27392	33888
894	27420	33853
895	27450	33822
896	27478	33789
897	27508	33757
898	27541	33730
899	27570	33697
900	27600	33666
901	27631	33636
902	27661	33604
903	27691	33573
904	27723	33543
905	27755	33514
906	27788	33486
907	27822	33460
908	27855	33433
909	27886	33402
910	27921	33377
911	27949	33342
912	27978	33311
913	28008	33278
914	28038	33247
915	28071	33219
916	28097	33183
917	28129	33154
918	28159	33123
919	28189	33092
920	28220	33062
921	28251	33032
922	28278	32997
923	28304	32960
924	28334	32929
925	28364	32897
926	28395	32868
927	28425	32836
928	28455	32804
929	28479	32766
930	28512	32739
931	28561	32729
932	28604	32713
933	28646	32694
934	28684	32672
935	28735	32664
936	28784	32654
937	28827	32638
938	28871	32623
939	28920	32612
940	28971	32604
941	29021	32594
942	29067	32581
943	29109	32562
944	29155	32549
945	29209	32543
946	29265	32541
947	29317	32533
948	29366	32523
949	29416	32512
950	29470	32507
951	29523	32500
952	29572	32488
953	29610	32466
954	29649	32443
955	29692	32426
956	29741	32414
957	29774	32385
958	29809	32358
959	29842	32329
960	29876	32301
961	29912	32275
962	29948	32249
963	29985	32225
964	30023	32201
965	30070	32186
966	30115	32171
967	30161	32155
968	30204	32136
969	30248	32119
970	30288	32097
971	30324	32071
972	30364	32050
973	30408	32032
974	30447	32009
975	30486	31985
976	30523	31960
977	30556	31931
978	30588	31901
979	30626	31876
980	30662	31849
981	30698	31824
982	30732	31795
983	30771	31772
984	30805	31743
985	30839	31715
986	30875	31689
987	30908	31659
988	30944	31632
989	30981	31607
990	31018	31581
991	31055	31556
992	31089	31527
993	31124	31499
994	31163	31476
995	31200	31451
996	31237	31425
997	31272	31397
998	31304	31367
999	31336	31336
1000	31374	31311
1001	31412	31287
1002	31450	31262
1003	31488	31237
1004	31517	31204
1005	31549	31173
1006	31595	31156
1007	31639	31137
1008	31676	31111
1009	31714	31086
1010	31749	31058
1011	31782	31028
1012	31818	31001
1013	31853	30973
1014	31886	30943
1015	31923	30918
1016	31961	30892
1017	31998	30867
1018	32034	30839
1019	32068	30810
1020	32099	30779
1021	32131	30748
1022	32159	30713
1023	32193	30684
1024	32226	30654
1025	32258	30623
1026	32295	30597
1027	32332	30571
1028	32364	30540
1029	32396	30509
1030	32428	30478
1031	32459	30446
1032	32491	30415
1033	32520	30381
1034	32554	30352
1035	32583	30319
1036	32700	30366
1037	32787	30387
1038	32822	30358
1039	32852	30325
1040	32885	30294
1041	32914	30261
1042	32945	30228
1043	32977	30198
1044	33009	30166
1045	33041	30135
1046	33075	30105
1047	33107	30074
1048	33164	30066
1049	33203	30041
1050	33240	30014
1051	33272	29983
1052	33305	29952
1053	33341	29924
1054	33385	29904
1055	33428	29883
1056	33476	29865
1057	33510	29836
1058	33544	29806
1059	33575	29774
1060	33607	29743
1061	33641	29713
1062	33676	29685
1063	33745	29686
1064	33901	29763
1065	33954	29750
1066	34010	29739
1067	34083	29743
1068	34146	29738
1069	34198	29724
1070	34236	29697
1071	34280	29675
1072	34320	29650
1073	34361	29625
1074	34402	29602
1075	34445	29579
1076	34485	29554
1077	34529	29532
1078	34578	29514
1079	34624	29495
1080	34675	29478
1081	34713	29452
1082	34748	29422
1083	34793	29401
1084	34840	29381
1085	34872	29349
1086	34903	29316
1087	34934	29282
1088	34965	29250
1089	34995	29216
1090	35030	29186
1091	35061	29153
1092	35096	29123
1093	35132	29095
1094	35161	29060
1095	35193	29028
1096	35224	28994
1097	35256	28962
1098	35287	28929
1099	35318	28897
1100	35349	28864
1101	35379	28830
1102	35407	28794
1103	35438	28762
1104	35470	28729
1105	35501	28696
1106	35530	28661
1107	35563	28630
1108	35600	28602
1109	35633	28571
1110	35660	28535
1111	35690	28501
1112	35721	28467
1113	35752	28434
1114	35783	28401
1115	35812	28367
1116	35842	28334
1117	35875	28302
1118	35906	28269
1119	35937	28236
1120	35967	28202
1121	35994	28166
1122	36025	28133
1123	36054	28099
1124	36084	28066
1125	36117	28034
1126	36148	28001
1127	36178	27967
1128	36209	27934
1129	36239	27901
1130	36268	27867
1131	36299	27834
1132	36332	27802
1133	36362	27768
1134	36391	27734
1135	36421	27700
1136	36451	27667
1137	36481	27633
1138	36511	27599
1139	36543	27568
1140	36574	27534
1141	36603	27500
1142	36634	27468
1143	36692	27454
1144	36721	27420
1145	36750	27386
1146	36782	27354
1147	36809	27318
1148	36839	27285
1149	36871	27253
1150	36900	27218
1151	36929	27184
1152	36959	27150
1153	36989	27117
1154	37022	27086
1155	37053	27053
1156	37082	27018
1157	37115	26987
1158	37151	26957
1159	37180	26924
1160	37211	26890
1161	37240	26856
1162	37268	26821
1163	37297	26787
1164	37328	26755
1165	37359	26721
1166	37389	26688
1167	37420	26655
1168	37451	26622
1169	37486	26593
1170	37521	26563
1171	37552	26530
1172	37587	26500
1173	37623	26471
1174	37659	26442
1175	37689	26408
1176	37725	26378
1177	37759	26347
1178	37789	26314
1179	37830	26289
1180	37870	26262
1181	37904	26231
1182	37940	26202
1183	37979	26174
1184	38020	26149
1185	38053	26117
1186	38087	26086
1187	38119	26055
1188	38150	26022
1189	38176	25985
1190	38209	25954
1191	38241	25922
1192	38272	25889
1193	38301	25855
1194	38329	25820
1195	38360	25787
1196	38392	25755
1197	38421	25721
1198	38451	25687
1199	38481	25654
1200	38509	25619
1201	38540	25586
1202	38569	25552
1203	38599	25519
1204	38630	25486
1205	38661	25453
1206	38689	25418
1207	38721	25386
1208	38760	25359
1209	38792	25327
1210	38822	25294
1211	38851	25260
1212	38884	25228
1213	38915	25195
1214	38949	25164
1215	38980	25132
1216	39012	25099
1217	39045	25068
1218	39076	25035
1219	39109	25004
1220	39142	24972
1221	39174	24940
1222	39205	24908
1223	39235	24874
1224	39266	24842
1225	39297	24809
1226	39326	24775
1227	39359	24743
1228	39392	24712
1229	39423	24679
1230	39449	24644
1231	39483	24612
1232	39515	24580
1233	39546	24548
1234	39577	24515
1235	39647	24507
1236	39728	24505
1237	39765	24475
1238	39797	24443
1239	39832	24413
1240	39869	24384
1241	39907	24355
1242	39943	24325
1243	39978	24295
1244	40017	24267
1245	40056	24239
1246	40088	24207
1247	40120	24175
1248	40152	24142
1249	40182	24109
1250	40214	24077
1251	40245	24044
1252	40275	24010
1253	40306	23977
1254	40337	23945
1255	40371	23914
1256	40402	23881
1257	40435	23850
1258	40470	23819
1259	40503	23787
1260	40536	23755
1261	40567	23723
1262	40599	23690
1263	40630	23658
1264	40664	23627
1265	40699	23596
1266	40729	23563
1267	40762	23531
1268	40801	23503
1269	40837	23473
1270	40878	23446
1271	40918	23418
1272	40955	23389
1273	40992	23359
1274	41025	23328
1275	41064	23300
1276	41101	23270
1277	41145	23244
1278	41176	23212
1279	41205	23177
1280	41235	23144
1281	41267	23112
1282	41298	23079
1283	41330	23046
1284	41360	23013
1285	41387	22978
1286	41416	22945
1287	41443	22909
1288	41472	22875
1289	41496	22839
1290	41524	22804
1291	41554	22771
1292	41583	22737
1293	41613	22703
1294	41644	22671
1295	41677	22639
1296	41709	22607
1297	41744	22576
1298	41777	22544
1299	41806	22511
1300	41852	22486
1301	41901	22463
1302	41929	22429
1303	41971	22401
1304	42016	22376
1305	42062	22351
1306	42114	22330
1307	42153	22301
1308	42191	22272
1309	42227	22242
1310	42268	22214
1311	42304	22184
1312	42340	22153
1313	42377	22124
1314	42408	22091
1315	42446	22061
1316	42482	22031
1317	42517	22000
1318	42554	21971
1319	42591	21941
1320	42630	21912
1321	42668	21882
1322	42703	21851
1323	42741	21822
1324	42778	21792
1325	42811	21761
1326	42847	21730
1327	42886	21701
1328	42923	21671
1329	42969	21646
1330	43020	21623
1331	43064	21596
1332	43108	21570
1333	43152	21544
1334	43196	21517
1335	43233	21487
1336	43274	21459
1337	43314	21430
1338	43359	21404
1339	43403	21377
1340	43442	21348
1341	43472	21315
1342	43507	21284
1343	43545	21254
1344	43595	21230
1345	43653	21210
1346	43709	21189
1347	43780	21175
1348	43842	21157
1349	43897	21135
1350	43945	21110
1351	43991	21084
1352	44043	21061
1353	44084	21032
1354	44116	20999
1355	44156	20971
1356	44200	20943
1357	44234	20911
1358	44267	20879
1359	44304	20849
1360	44344	20819
1361	44375	20786
1362	44438	20768
1363	44470	20735
1364	44508	20705
1365	44546	20675
1366	44582	20644
1367	44611	20610
1368	44648	20579
1369	44679	20546
1370	44711	20512
1371	44745	20481
1372	44775	20447
1373	44809	20415
1374	44846	20384
1375	44877	20351
1376	44911	20319
1377	44947	20288
1378	44987	20258
1379	45018	20225
1380	45057	20195
1381	45098	20166
1382	45131	20134
1383	45162	20101
1384	45194	20068
1385	45224	20034
1386	45260	20003
1387	45294	19971
1388	45323	19937
1389	45357	19905
1390	45394	19874
1391	45423	19840
1392	45458	19808
1393	45499	19779
1394	45542	19751
1395	45571	19717
1396	45609	19686
1397	45651	19658
1398	45691	19628
1399	45719	19593
1400	45758	19563
1401	45796	19533
1402	45835	19503
1403	45865	19469
1404	45905	19440
1405	45946	19411
1406	45986	19381
1407	46030	19353
1408	46066	19322
1409	46105	19292
1410	46143	19261
1411	46166	19225
1412	46207	19195
1413	46268	19175
1414	46312	19146
1415	46357	19119
1416	46397	19089
1417	46442	19061
1418	46487	19033
1419	46532	19006
1420	46577	18978
1421	46621	18950
1422	46661	18920
1423	46701	18890
1424	46743	18861
1425	46784	18831
1426	46822	18801
1427	46858	18769
1428	46897	18739
1429	46942	18711
1430	46983	18681
1431	47016	18649
1432	47057	18619
1433	47100	18590
1434	47142	18561
1435	47175	18528
1436	47208	18495
1437	47245	18464
1438	47282	18433
1439	47313	18399
1440	47351	18368
1441	47390	18338
1442	47423	18305
1443	47454	18272
1444	47489	18240
1445	47525	18208
1446	47557	18175
1447	47595	18144
1448	47677	18129
1449	47753	18113
1450	47833	18098
1451	47905	18080
1452	47997	18069
1453	48161	18085
1454	48248	18072
1455	48362	18069
1456	48452	18057
1457	48533	18041
1458	48601	18021
1459	48669	18001
1460	48734	17979
1461	48791	17954
1462	48852	17931
1463	48911	17907
1464	48976	17885
1465	49040	17863
1466	49104	17841
1467	49168	17818
1468	49236	17797
1469	49300	17774
1470	49371	17755
1471	49458	17740
1472	49538	17723
1473	49617	17705
1474	49676	17681
1475	49741	17659
1476	49794	17632
1477	49859	17609
1478	49934	17590
1479	50017	17573
1480	50104	17558
1481	50186	17541
1482	50259	17521
1483	50340	17504
1484	50433	17490
1485	50500	17467
1486	50576	17448
1487	50646	17426
1488	50711	17403
1489	50771	17378
1490	50824	17350
1491	50869	17320
1492	50923	17292
1493	50976	17265
1494	51031	17238
1495	51079	17208
1496	51132	17180
1497	51183	17152
1498	51248	17128
1499	51335	17111
1500	51422	17095
1501	51491	17072
1502	51570	17053
1503	51644	17031
1504	51727	17013
1505	51795	16990
1506	51863	16966
1507	51934	16944
1508	52018	16925
1509	52089	16903
1510	52183	16887
1511	52268	16869
1512	52329	16843
1513	52376	16812
1514	52418	16780
1515	52469	16751
1516	52519	16721
1517	52583	16696
1518	52632	16666
1519	52675	16634
1520	52726	16604
1521	52775	16574
1522	52820	16543
1523	52857	16509
1524	52898	16476
1525	52939	16443
1526	52980	16411
1527	53017	16377
1528	53050	16341
1529	53086	16307
1530	53123	16273
1531	53153	16237
1532	53187	16202
1533	53222	16168
1534	53251	16131
1535	53286	16097
1536	53324	16063
1537	53361	16029
1538	53394	15994
1539	53435	15961
1540	53472	15927
1541	53509	15893
1542	53541	15857
1543	53579	15824
1544	53618	15790
1545	53650	15755
1546	53688	15721
1547	53734	15689
1548	53776	15657
1549	53816	15624
1550	53857	15591
1551	53898	15558
1552	53934	15524
1553	53970	15489
1554	54003	15454
1555	54036	15419
